# sm_12x (consumer Blackwell: sm_120/sm_121) 72-B sched-class descriptors
# == the sm_10x latency family @ .rodata VMA 0x226C880 (430 classes).
# Binary-derived (ptxas 13.0.88).  sm_120 and sm_121 install this exact table
# (installer sub_ABF590 enum 0x4001, shared with sm_100/sm_103); sm_120 == sm_121
# byte-identical SASS verified empirically.  Identical bytes to latency_table_sm10x.tsv.
idx	class_id	pipeA_hex	pipeB_hex	p0_flags	p1_tput	p2	p3	p4	p5_maxstall	p6	p7_self	p8	p9	p10	p11
227	342	ffff1515ffffffff	ffffffff01ff0000	0	0	39	4	19	7	3	342	4	2	1	0
228	345	1313ffffffffff0c	07ffffffffff0000	0	192	39	4	19	7	3	345	4	2	3	0
229	347	0c13ffffffffff0c	07ffffffffff0000	0	192	39	4	19	7	3	347	4	2	3	0
230	349	1313ffffffffffff	07ffffffffff0000	0	192	39	4	19	7	3	349	4	2	3	0
231	351	0c13ffffffffffff	07ffffffffff0000	0	192	39	4	19	7	3	351	4	2	3	0
232	376	110904ffffffffff	14ffffffffff0000	0	192	39	4	19	7	3	376	4	2	1	0
233	377	141409ffffffffff	12ffffffffff0000	67108864	192	39	4	19	7	3	377	4	2	1	0
234	379	14ff09ffffffffff	12ffffffffff0000	335544320	64	39	4	19	7	3	379	4	2	1	0
235	383	14ff09ffffffffff	12ffffffffff0000	335544320	64	39	4	19	7	3	383	4	2	1	0
236	384	141409ffffffffff	12ffffffffff0000	67108864	192	39	4	19	7	3	384	4	2	1	0
237	385	ffff1416ffffffff	ffffffff02ff0000	0	0	39	4	19	7	3	385	4	1	1	0
238	386	ffff1618ffffffff	ffffffff04ff0000	0	0	39	4	19	7	3	386	4	1	1	0
239	391	ffff13ffffffffff	ffffffff07ff0000	268435456	64	39	4	19	7	3	391	4	2	3	0
240	394	0002ffffffffffff	06ffffffffff0000	0	0	39	4	19	7	3	394	4	1	1	0
241	396	10ff04ffffffff04	01ffffffffff0000	0	192	39	4	19	7	3	396	4	2	3	0
